task_id,family,difficulty,payload,partials,combine,gold,split,version
dev-0029-sta,stateful_workflow,3,"{'state_deltas': [{'queued': 2, 'processed': 3, 'flagged': 0}, {'queued': 0, 'processed': 1, 'flagged': 1}, {'queued': 1, 'processed': 1, 'flagged': 1}, {'queued': 0, 'processed': 2, 'flagged': 0}, {'queued': 2, 'processed': 3, 'flagged': 0}, {'queued': 3, 'processed': 1, 'flagged': 2}, {'queued': 1, 'processed': 2, 'flagged': 0}], 'instruction': 'apply all state deltas'}","[{'queued': 2, 'processed': 3, 'flagged': 0}, {'queued': 0, 'processed': 1, 'flagged': 1}, {'queued': 1, 'processed': 1, 'flagged': 1}, {'queued': 0, 'processed': 2, 'flagged': 0}, {'queued': 2, 'processed': 3, 'flagged': 0}, {'queued': 3, 'processed': 1, 'flagged': 2}, {'queued': 1, 'processed': 2, 'flagged': 0}]",dict_sum,"{'flagged': 4, 'processed': 13, 'queued': 9}",dev,1.0
pilot-0030-ari,arithmetic_pipeline,1,"{'terms': [9, 4, 26, 27, 7], 'instruction': 'sum all signed terms'}","[9, 4, 26, 27, 7]",sum,73,pilot,1.0
pilot-0031-sha,shard_aggregation,1,"{'shard_counts': [74, 24, 19, 18, 7], 'instruction': 'aggregate all shard counts'}","[74, 24, 19, 18, 7]",sum,142,pilot,1.0
pilot-0032-evi,evidence_synthesis,1,"{'evidence_vectors': [[3, 3], [5, 5], [3, 3], [3, 0], [4, 4]], 'labels': ['support', 'against']}","[[3, 3], [5, 5], [3, 3], [3, 0], [4, 4]]",vector_sum,"[18, 15]",pilot,1.0
pilot-0033-con,constraint_decision,1,"{'constraint_masks': [128, 4, 2, 128, 64], 'instruction': 'return the union bitmask'}","[128, 4, 2, 128, 64]",bitwise_or,198,pilot,1.0
pilot-0034-sta,stateful_workflow,1,"{'state_deltas': [{'queued': 3, 'processed': 2, 'flagged': 1}, {'queued': 3, 'processed': 4, 'flagged': 1}, {'queued': 2, 'processed': 1, 'flagged': 2}, {'queued': 4, 'processed': 0, 'flagged': 1}, {'queued': 0, 'processed': 4, 'flagged': 2}], 'instruction': 'apply all state deltas'}","[{'queued': 3, 'processed': 2, 'flagged': 1}, {'queued': 3, 'processed': 4, 'flagged': 1}, {'queued': 2, 'processed': 1, 'flagged': 2}, {'queued': 4, 'processed': 0, 'flagged': 1}, {'queued': 0, 'processed': 4, 'flagged': 2}]",dict_sum,"{'flagged': 7, 'processed': 11, 'queued': 12}",pilot,1.0
pilot-0035-ari,arithmetic_pipeline,2,"{'terms': [-7, 23, 28, 24, -6, 6], 'instruction': 'sum all signed terms'}","[-7, 23, 28, 24, -6, 6]",sum,68,pilot,1.0
pilot-0036-sha,shard_aggregation,2,"{'shard_counts': [93, 44, 5, 89, 15, 16], 'instruction': 'aggregate all shard counts'}","[93, 44, 5, 89, 15, 16]",sum,262,pilot,1.0
pilot-0037-evi,evidence_synthesis,2,"{'evidence_vectors': [[4, 5], [3, 5], [4, 3], [0, 2], [4, 2], [5, 5]], 'labels': ['support', 'against']}","[[4, 5], [3, 5], [4, 3], [0, 2], [4, 2], [5, 5]]",vector_sum,"[20, 22]",pilot,1.0
pilot-0038-con,constraint_decision,2,"{'constraint_masks': [1, 64, 4, 1, 128, 16], 'instruction': 'return the union bitmask'}","[1, 64, 4, 1, 128, 16]",bitwise_or,213,pilot,1.0
pilot-0039-sta,stateful_workflow,2,"{'state_deltas': [{'queued': 1, 'processed': 2, 'flagged': 3}, {'queued': 1, 'processed': 2, 'flagged': 4}, {'queued': 1, 'processed': 0, 'flagged': 1}, {'queued': 2, 'processed': 2, 'flagged': 2}, {'queued': 3, 'processed': 4, 'flagged': 3}, {'queued': 4, 'processed': 4, 'flagged': 4}], 'instruction': 'apply all state deltas'}","[{'queued': 1, 'processed': 2, 'flagged': 3}, {'queued': 1, 'processed': 2, 'flagged': 4}, {'queued': 1, 'processed': 0, 'flagged': 1}, {'queued': 2, 'processed': 2, 'flagged': 2}, {'queued': 3, 'processed': 4, 'flagged': 3}, {'queued': 4, 'processed': 4, 'flagged': 4}]",dict_sum,"{'flagged': 17, 'processed': 14, 'queued': 12}",pilot,1.0
pilot-0040-ari,arithmetic_pipeline,3,"{'terms': [-15, -15, 0, 13, 0, 29, 3], 'instruction': 'sum all signed terms'}","[-15, -15, 0, 13, 0, 29, 3]",sum,15,pilot,1.0
pilot-0041-sha,shard_aggregation,3,"{'shard_counts': [7, 17, 56, 75, 69, 35, 52], 'instruction': 'aggregate all shard counts'}","[7, 17, 56, 75, 69, 35, 52]",sum,311,pilot,1.0
pilot-0042-evi,evidence_synthesis,3,"{'evidence_vectors': [[5, 3], [0, 5], [1, 5], [4, 4], [5, 4], [0, 1], [0, 2]], 'labels': ['support', 'against']}","[[5, 3], [0, 5], [1, 5], [4, 4], [5, 4], [0, 1], [0, 2]]",vector_sum,"[15, 24]",pilot,1.0
pilot-0043-con,constraint_decision,3,"{'constraint_masks': [2, 16, 1, 4, 16, 128, 64], 'instruction': 'return the union bitmask'}","[2, 16, 1, 4, 16, 128, 64]",bitwise_or,215,pilot,1.0
pilot-0044-sta,stateful_workflow,3,"{'state_deltas': [{'queued': 3, 'processed': 4, 'flagged': 4}, {'queued': 0, 'processed': 4, 'flagged': 0}, {'queued': 4, 'processed': 4, 'flagged': 1}, {'queued': 3, 'processed': 4, 'flagged': 0}, {'queued': 4, 'processed': 3, 'flagged': 4}, {'queued': 2, 'processed': 2, 'flagged': 4}, {'queued': 3, 'processed': 1, 'flagged': 0}], 'instruction': 'apply all state deltas'}","[{'queued': 3, 'processed': 4, 'flagged': 4}, {'queued': 0, 'processed': 4, 'flagged': 0}, {'queued': 4, 'processed': 4, 'flagged': 1}, {'queued': 3, 'processed': 4, 'flagged': 0}, {'queued': 4, 'processed': 3, 'flagged': 4}, {'queued': 2, 'processed': 2, 'flagged': 4}, {'queued': 3, 'processed': 1, 'flagged': 0}]",dict_sum,"{'flagged': 13, 'processed': 22, 'queued': 19}",pilot,1.0
pilot-0045-ari,arithmetic_pipeline,1,"{'terms': [11, 14, -14, 6, 28], 'instruction': 'sum all signed terms'}","[11, 14, -14, 6, 28]",sum,45,pilot,1.0
pilot-0046-sha,shard_aggregation,1,"{'shard_counts': [77, 44, 48, 55, 54], 'instruction': 'aggregate all shard counts'}","[77, 44, 48, 55, 54]",sum,278,pilot,1.0
pilot-0047-evi,evidence_synthesis,1,"{'evidence_vectors': [[2, 0], [2, 2], [4, 2], [5, 0], [1, 3]], 'labels': ['support', 'against']}","[[2, 0], [2, 2], [4, 2], [5, 0], [1, 3]]",vector_sum,"[14, 7]",pilot,1.0
pilot-0048-con,constraint_decision,1,"{'constraint_masks': [128, 4, 64, 64, 4], 'instruction': 'return the union bitmask'}","[128, 4, 64, 64, 4]",bitwise_or,196,pilot,1.0
pilot-0049-sta,stateful_workflow,1,"{'state_deltas': [{'queued': 3, 'processed': 4, 'flagged': 4}, {'queued': 0, 'processed': 0, 'flagged': 4}, {'queued': 3, 'processed': 3, 'flagged': 4}, {'queued': 4, 'processed': 4, 'flagged': 3}, {'queued': 0, 'processed': 0, 'flagged': 1}], 'instruction': 'apply all state deltas'}","[{'queued': 3, 'processed': 4, 'flagged': 4}, {'queued': 0, 'processed': 0, 'flagged': 4}, {'queued': 3, 'processed': 3, 'flagged': 4}, {'queued': 4, 'processed': 4, 'flagged': 3}, {'queued': 0, 'processed': 0, 'flagged': 1}]",dict_sum,"{'flagged': 16, 'processed': 11, 'queued': 10}",pilot,1.0
pilot-0050-ari,arithmetic_pipeline,2,"{'terms': [21, 20, 14, 22, 12, 13], 'instruction': 'sum all signed terms'}","[21, 20, 14, 22, 12, 13]",sum,102,pilot,1.0
pilot-0051-sha,shard_aggregation,2,"{'shard_counts': [31, 33, 72, 97, 84, 32], 'instruction': 'aggregate all shard counts'}","[31, 33, 72, 97, 84, 32]",sum,349,pilot,1.0
pilot-0052-evi,evidence_synthesis,2,"{'evidence_vectors': [[4, 1], [2, 0], [5, 4], [3, 4], [1, 3], [1, 5]], 'labels': ['support', 'against']}","[[4, 1], [2, 0], [5, 4], [3, 4], [1, 3], [1, 5]]",vector_sum,"[16, 17]",pilot,1.0
pilot-0053-con,constraint_decision,2,"{'constraint_masks': [128, 4, 4, 64, 128, 128], 'instruction': 'return the union bitmask'}","[128, 4, 4, 64, 128, 128]",bitwise_or,196,pilot,1.0
pilot-0054-sta,stateful_workflow,2,"{'state_deltas': [{'queued': 3, 'processed': 3, 'flagged': 2}, {'queued': 3, 'processed': 0, 'flagged': 3}, {'queued': 3, 'processed': 1, 'flagged': 0}, {'queued': 4, 'processed': 4, 'flagged': 3}, {'queued': 2, 'processed': 2, 'flagged': 3}, {'queued': 4, 'processed': 3, 'flagged': 2}], 'instruction': 'apply all state deltas'}","[{'queued': 3, 'processed': 3, 'flagged': 2}, {'queued': 3, 'processed': 0, 'flagged': 3}, {'queued': 3, 'processed': 1, 'flagged': 0}, {'queued': 4, 'processed': 4, 'flagged': 3}, {'queued': 2, 'processed': 2, 'flagged': 3}, {'queued': 4, 'processed': 3, 'flagged': 2}]",dict_sum,"{'flagged': 13, 'processed': 13, 'queued': 19}",pilot,1.0
pilot-0055-ari,arithmetic_pipeline,3,"{'terms': [-5, 27, -8, 4, -8, 9, -16], 'instruction': 'sum all signed terms'}","[-5, 27, -8, 4, -8, 9, -16]",sum,3,pilot,1.0
pilot-0056-sha,shard_aggregation,3,"{'shard_counts': [99, 100, 75, 40, 19, 79, 42], 'instruction': 'aggregate all shard counts'}","[99, 100, 75, 40, 19, 79, 42]",sum,454,pilot,1.0
pilot-0057-evi,evidence_synthesis,3,"{'evidence_vectors': [[2, 1], [0, 1], [2, 4], [0, 1], [3, 1], [4, 2], [3, 1]], 'labels': ['support', 'against']}","[[2, 1], [0, 1], [2, 4], [0, 1], [3, 1], [4, 2], [3, 1]]",vector_sum,"[14, 11]",pilot,1.0
pilot-0058-con,constraint_decision,3,"{'constraint_masks': [128, 32, 8, 2, 16, 64, 8], 'instruction': 'return the union bitmask'}","[128, 32, 8, 2, 16, 64, 8]",bitwise_or,250,pilot,1.0
pilot-0059-sta,stateful_workflow,3,"{'state_deltas': [{'queued': 4, 'processed': 0, 'flagged': 2}, {'queued': 2, 'processed': 0, 'flagged': 0}, {'queued': 0, 'processed': 0, 'flagged': 1}, {'queued': 0, 'processed': 3, 'flagged': 2}, {'queued': 4, 'processed': 0, 'flagged': 0}, {'queued': 2, 'processed': 0, 'flagged': 1}, {'queued': 1, 'processed': 0, 'flagged': 1}], 'instruction': 'apply all state deltas'}","[{'queued': 4, 'processed': 0, 'flagged': 2}, {'queued': 2, 'processed': 0, 'flagged': 0}, {'queued': 0, 'processed': 0, 'flagged': 1}, {'queued': 0, 'processed': 3, 'flagged': 2}, {'queued': 4, 'processed': 0, 'flagged': 0}, {'queued': 2, 'processed': 0, 'flagged': 1}, {'queued': 1, 'processed': 0, 'flagged': 1}]",dict_sum,"{'flagged': 7, 'processed': 3, 'queued': 13}",pilot,1.0
evaluation-0060-ari,arithmetic_pipeline,1,"{'terms': [-11, 26, 7, 9, 18], 'instruction': 'sum all signed terms'}","[-11, 26, 7, 9, 18]",sum,49,evaluation,1.0
evaluation-0061-sha,shard_aggregation,1,"{'shard_counts': [73, 17, 28, 31, 98], 'instruction': 'aggregate all shard counts'}","[73, 17, 28, 31, 98]",sum,247,evaluation,1.0
evaluation-0062-evi,evidence_synthesis,1,"{'evidence_vectors': [[5, 4], [3, 2], [5, 0], [5, 1], [1, 4]], 'labels': ['support', 'against']}","[[5, 4], [3, 2], [5, 0], [5, 1], [1, 4]]",vector_sum,"[19, 11]",evaluation,1.0
evaluation-0063-con,constraint_decision,1,"{'constraint_masks': [1, 4, 1, 8, 128], 'instruction': 'return the union bitmask'}","[1, 4, 1, 8, 128]",bitwise_or,141,evaluation,1.0
evaluation-0064-sta,stateful_workflow,1,"{'state_deltas': [{'queued': 1, 'processed': 1, 'flagged': 0}, {'queued': 2, 'processed': 2, 'flagged': 3}, {'queued': 1, 'processed': 2, 'flagged': 4}, {'queued': 2, 'processed': 2, 'flagged': 3}, {'queued': 2, 'processed': 2, 'flagged': 4}], 'instruction': 'apply all state deltas'}","[{'queued': 1, 'processed': 1, 'flagged': 0}, {'queued': 2, 'processed': 2, 'flagged': 3}, {'queued': 1, 'processed': 2, 'flagged': 4}, {'queued': 2, 'processed': 2, 'flagged': 3}, {'queued': 2, 'processed': 2, 'flagged': 4}]",dict_sum,"{'flagged': 14, 'processed': 9, 'queued': 8}",evaluation,1.0
evaluation-0065-ari,arithmetic_pipeline,2,"{'terms': [28, 19, -16, 1, -9, 5], 'instruction': 'sum all signed terms'}","[28, 19, -16, 1, -9, 5]",sum,28,evaluation,1.0
evaluation-0066-sha,shard_aggregation,2,"{'shard_counts': [51, 100, 34, 35, 53, 7], 'instruction': 'aggregate all shard counts'}","[51, 100, 34, 35, 53, 7]",sum,280,evaluation,1.0
evaluation-0067-evi,evidence_synthesis,2,"{'evidence_vectors': [[4, 5], [5, 2], [1, 4], [5, 2], [1, 5], [4, 0]], 'labels': ['support', 'against']}","[[4, 5], [5, 2], [1, 4], [5, 2], [1, 5], [4, 0]]",vector_sum,"[20, 18]",evaluation,1.0
evaluation-0068-con,constraint_decision,2,"{'constraint_masks': [1, 1, 8, 2, 64, 128], 'instruction': 'return the union bitmask'}","[1, 1, 8, 2, 64, 128]",bitwise_or,203,evaluation,1.0
evaluation-0069-sta,stateful_workflow,2,"{'state_deltas': [{'queued': 1, 'processed': 4, 'flagged': 0}, {'queued': 2, 'processed': 2, 'flagged': 3}, {'queued': 1, 'processed': 4, 'flagged': 4}, {'queued': 0, 'processed': 0, 'flagged': 2}, {'queued': 2, 'processed': 3, 'flagged': 2}, {'queued': 4, 'processed': 1, 'flagged': 4}], 'instruction': 'apply all state deltas'}","[{'queued': 1, 'processed': 4, 'flagged': 0}, {'queued': 2, 'processed': 2, 'flagged': 3}, {'queued': 1, 'processed': 4, 'flagged': 4}, {'queued': 0, 'processed': 0, 'flagged': 2}, {'queued': 2, 'processed': 3, 'flagged': 2}, {'queued': 4, 'processed': 1, 'flagged': 4}]",dict_sum,"{'flagged': 15, 'processed': 14, 'queued': 10}",evaluation,1.0
evaluation-0070-ari,arithmetic_pipeline,3,"{'terms': [20, 10, 14, 11, -3, 11, -9], 'instruction': 'sum all signed terms'}","[20, 10, 14, 11, -3, 11, -9]",sum,54,evaluation,1.0
evaluation-0071-sha,shard_aggregation,3,"{'shard_counts': [18, 40, 46, 54, 80, 14, 60], 'instruction': 'aggregate all shard counts'}","[18, 40, 46, 54, 80, 14, 60]",sum,312,evaluation,1.0
evaluation-0072-evi,evidence_synthesis,3,"{'evidence_vectors': [[0, 3], [0, 3], [1, 2], [5, 5], [3, 4], [4, 5], [3, 2]], 'labels': ['support', 'against']}","[[0, 3], [0, 3], [1, 2], [5, 5], [3, 4], [4, 5], [3, 2]]",vector_sum,"[16, 24]",evaluation,1.0
evaluation-0073-con,constraint_decision,3,"{'constraint_masks': [16, 64, 16, 32, 16, 4, 16], 'instruction': 'return the union bitmask'}","[16, 64, 16, 32, 16, 4, 16]",bitwise_or,116,evaluation,1.0
evaluation-0074-sta,stateful_workflow,3,"{'state_deltas': [{'queued': 3, 'processed': 3, 'flagged': 2}, {'queued': 4, 'processed': 4, 'flagged': 2}, {'queued': 0, 'processed': 0, 'flagged': 2}, {'queued': 1, 'processed': 1, 'flagged': 2}, {'queued': 1, 'processed': 0, 'flagged': 1}, {'queued': 2, 'processed': 3, 'flagged': 1}, {'queued': 4, 'processed': 3, 'flagged': 3}], 'instruction': 'apply all state deltas'}","[{'queued': 3, 'processed': 3, 'flagged': 2}, {'queued': 4, 'processed': 4, 'flagged': 2}, {'queued': 0, 'processed': 0, 'flagged': 2}, {'queued': 1, 'processed': 1, 'flagged': 2}, {'queued': 1, 'processed': 0, 'flagged': 1}, {'queued': 2, 'processed': 3, 'flagged': 1}, {'queued': 4, 'processed': 3, 'flagged': 3}]",dict_sum,"{'flagged': 13, 'processed': 14, 'queued': 15}",evaluation,1.0
evaluation-0075-ari,arithmetic_pipeline,1,"{'terms': [16, -5, -2, 3, 21], 'instruction': 'sum all signed terms'}","[16, -5, -2, 3, 21]",sum,33,evaluation,1.0
evaluation-0076-sha,shard_aggregation,1,"{'shard_counts': [49, 15, 51, 30, 93], 'instruction': 'aggregate all shard counts'}","[49, 15, 51, 30, 93]",sum,238,evaluation,1.0
evaluation-0077-evi,evidence_synthesis,1,"{'evidence_vectors': [[2, 3], [5, 1], [1, 0], [2, 3], [1, 3]], 'labels': ['support', 'against']}","[[2, 3], [5, 1], [1, 0], [2, 3], [1, 3]]",vector_sum,"[11, 10]",evaluation,1.0
evaluation-0078-con,constraint_decision,1,"{'constraint_masks': [8, 32, 64, 64, 8], 'instruction': 'return the union bitmask'}","[8, 32, 64, 64, 8]",bitwise_or,104,evaluation,1.0
evaluation-0079-sta,stateful_workflow,1,"{'state_deltas': [{'queued': 1, 'processed': 1, 'flagged': 0}, {'queued': 3, 'processed': 1, 'flagged': 0}, {'queued': 4, 'processed': 0, 'flagged': 3}, {'queued': 0, 'processed': 0, 'flagged': 3}, {'queued': 4, 'processed': 4, 'flagged': 3}], 'instruction': 'apply all state deltas'}","[{'queued': 1, 'processed': 1, 'flagged': 0}, {'queued': 3, 'processed': 1, 'flagged': 0}, {'queued': 4, 'processed': 0, 'flagged': 3}, {'queued': 0, 'processed': 0, 'flagged': 3}, {'queued': 4, 'processed': 4, 'flagged': 3}]",dict_sum,"{'flagged': 9, 'processed': 6, 'queued': 12}",evaluation,1.0
evaluation-0080-ari,arithmetic_pipeline,2,"{'terms': [9, 4, 2, -19, 16, -8], 'instruction': 'sum all signed terms'}","[9, 4, 2, -19, 16, -8]",sum,4,evaluation,1.0
evaluation-0081-sha,shard_aggregation,2,"{'shard_counts': [87, 89, 77, 88, 23, 89], 'instruction': 'aggregate all shard counts'}","[87, 89, 77, 88, 23, 89]",sum,453,evaluation,1.0
evaluation-0082-evi,evidence_synthesis,2,"{'evidence_vectors': [[2, 5], [2, 0], [4, 5], [0, 3], [3, 3], [5, 4]], 'labels': ['support', 'against']}","[[2, 5], [2, 0], [4, 5], [0, 3], [3, 3], [5, 4]]",vector_sum,"[16, 20]",evaluation,1.0
evaluation-0083-con,constraint_decision,2,"{'constraint_masks': [64, 4, 128, 64, 64, 8], 'instruction': 'return the union bitmask'}","[64, 4, 128, 64, 64, 8]",bitwise_or,204,evaluation,1.0
